POSTNUMMER,OFFICE NAME,DEP NAME,FIRMA_ID,OFFICE_id
6212,Ålesund,Aursnes P,18,21
6213,Ålesund,Aursnes P,18,21
6214,Ålesund,Aursnes P,18,21
6215,Ålesund,Aursnes P,18,21
6216,Ålesund,Aursnes P,18,21
6217,Ålesund,Aursnes P,18,21
6218,Ålesund,Aursnes P,18,21
6219,Ålesund,Aursnes P,18,21
6220,Ålesund,Aursnes P,18,21
6221,Ålesund,Aursnes P,18,21
6222,Ålesund,Aursnes P,18,21
6223,Ålesund,Aursnes P,18,21
6224,Ålesund,Aursnes P,18,21
6225,Ålesund,Aursnes P,18,21
6226,Ålesund,Aursnes P,18,21
6227,Ålesund,Aursnes P,18,21
6228,Ålesund,Aursnes P,18,21
6229,Ålesund,Aursnes P,18,21
6230,Ålesund,Aursnes P,18,21
6231,Ålesund,Aursnes P,18,21
6232,Ålesund,Aursnes P,18,21
6233,Ålesund,Aursnes P,18,21
6234,Ålesund,Aursnes P,18,21
6235,Ålesund,Aursnes P,18,21
6236,Ålesund,Aursnes P,18,21
6237,Ålesund,Aursnes P,18,21
6238,Ålesund,Aursnes P,18,21
6239,Ålesund,Aursnes P,18,21
6240,Ålesund,Aursnes P,18,21
6241,Ålesund,Aursnes P,18,21
6242,Ålesund,Aursnes P,18,21
6243,Ålesund,Aursnes P,18,21
6244,Ålesund,Aursnes P,18,21
6245,Ålesund,Aursnes P,18,21
6246,Ålesund,Aursnes P,18,21
6247,Ålesund,Aursnes P,18,21
6248,Ålesund,Aursnes P,18,21
6249,Ålesund,Aursnes P,18,21
6250,Ålesund,Aursnes P,18,21
6251,Ålesund,Aursnes P,18,21
6252,Ålesund,Aursnes P,18,21
6253,Ålesund,Aursnes P,18,21
6254,Ålesund,Aursnes P,18,21
6255,Ålesund,Aursnes P,18,21
6256,Ålesund,Aursnes P,18,21
6257,Ålesund,Aursnes P,18,21
6258,Ålesund,Aursnes P,18,21
6259,Ålesund,Aursnes P,18,21
6063,Ålesund,Aursnes P,3000049,3000081
6292,Ålesund,Aursnes P,3000049,3000081
6265,Ålesund,Aursnes P,3000049,3000081
6087,Ålesund,Aursnes P,3000049,3000081
6216,Ålesund,Aursnes P,3000049,3000081
6146,Ålesund,Aursnes P,3000049,3000081
6110,Ålesund,Aursnes P,3000049,3000081
6213,Ålesund,Aursnes P,3000049,3000081
6068,Ålesund,Aursnes P,3000049,3000081
6082,Ålesund,Aursnes P,3000049,3000081
6089,Ålesund,Aursnes P,3000049,3000081
6084,Ålesund,Aursnes P,3000049,3000081
6060,Ålesund,Aursnes P,3000049,3000081
6218,Ålesund,Aursnes P,3000049,3000081
6090,Ålesund,Aursnes P,3000049,3000081
6013,Ålesund,Aursnes P,3000049,3000081
6009,Ålesund,Aursnes P,3000049,3000081
6057,Ålesund,Aursnes P,3000049,3000081
6002,Ålesund,Aursnes P,3000049,3000081
6004,Ålesund,Aursnes P,3000049,3000081
6012,Ålesund,Aursnes P,3000049,3000081
6037,Ålesund,Aursnes P,3000049,3000081
6003,Ålesund,Aursnes P,3000049,3000081
